iter	Passed	Remaining
0	193	193494
1	212	105933
2	223	74127
3	232	57986
4	240	47778
5	247	40964
6	254	36033
7	261	32472
8	268	29557
9	275	27275
10	282	25435
11	289	23843
12	296	22542
13	303	21368
14	310	20387
15	317	19498
16	324	18746
17	331	18060
18	337	17425
19	344	16884
20	350	16357
21	358	15915
22	364	15500
23	371	15108
24	379	14810
25	386	14489
26	394	14211
27	401	13933
28	409	13718
29	418	13537
30	427	13371
31	435	13164
32	443	12988
33	450	12804
34	458	12646
35	465	12473
36	475	12368
37	483	12241
38	491	12100
39	498	11960
40	506	11843
41	513	11709
42	521	11605
43	528	11484
44	536	11388
45	543	11275
46	551	11184
47	560	11112
48	569	11049
49	578	10994
50	586	10920
51	594	10831
52	602	10757
53	609	10677
54	617	10616
55	625	10541
56	634	10492
57	642	10427
58	650	10369
59	658	10308
60	666	10263
61	674	10210
62	683	10166
63	691	10111
64	699	10058
65	706	9997
66	713	9941
67	721	9884
68	728	9831
69	736	9785
70	744	9735
71	752	9696
72	759	9644
73	767	9604
74	774	9551
75	783	9527
76	792	9502
77	801	9470
78	808	9428
79	817	9396
80	824	9356
81	832	9323
82	840	9282
83	848	9256
84	856	9219
85	864	9188
86	873	9163
87	881	9135
88	888	9098
89	897	9077
90	905	9049
91	914	9029
92	922	8996
93	930	8972
94	938	8937
95	946	8915
96	955	8891
97	964	8877
98	971	8843
99	979	8818
100	987	8789
101	995	8766
102	1003	8738
103	1011	8711
104	1018	8684
105	1027	8662
106	1035	8639
107	1043	8615
108	1050	8585
109	1058	8567
110	1067	8550
111	1078	8548
112	1087	8538
113	1100	8556
114	1111	8555
115	1121	8544
116	1132	8543
117	1142	8542
118	1152	8530
119	1161	8519
120	1171	8508
121	1181	8501
122	1191	8494
123	1199	8476
124	1212	8484
125	1221	8470
126	1229	8449
127	1236	8424
128	1244	8401
129	1251	8375
130	1259	8352
131	1266	8328
132	1275	8312
133	1282	8291
134	1291	8272
135	1298	8247
136	1306	8230
137	1314	8211
138	1322	8192
139	1330	8173
140	1338	8154
141	1346	8132
142	1354	8116
143	1361	8094
144	1368	8071
145	1376	8053
146	1384	8033
147	1392	8013
148	1399	7992
149	1408	7981
150	1417	7967
151	1425	7954
152	1433	7935
153	1441	7918
154	1448	7897
155	1456	7880
156	1463	7860
157	1472	7844
158	1479	7823
159	1487	7807
160	1494	7786
161	1503	7774
162	1510	7757
163	1519	7743
164	1526	7726
165	1534	7709
166	1541	7689
167	1549	7672
168	1557	7656
169	1564	7637
170	1572	7621
171	1579	7602
172	1587	7588
173	1594	7571
174	1602	7556
175	1610	7538
176	1618	7525
177	1627	7513
178	1636	7505
179	1644	7490
180	1652	7479
181	1660	7462
182	1668	7448
183	1675	7431
184	1684	7420
185	1693	7411
186	1703	7406
187	1712	7395
188	1723	7395
189	1733	7391
190	1742	7381
191	1752	7374
192	1761	7363
193	1770	7355
194	1780	7348
195	1788	7336
196	1797	7328
197	1806	7319
198	1816	7311
199	1826	7305
200	1836	7299
201	1846	7293
202	1855	7283
203	1864	7275
204	1873	7263
205	1882	7256
206	1890	7243
207	1899	7232
208	1907	7217
209	1915	7206
210	1923	7191
211	1932	7181
212	1939	7164
213	1946	7150
214	1953	7134
215	1961	7119
216	1968	7102
217	1975	7087
218	1983	7073
219	1990	7058
220	1998	7045
221	2006	7030
222	2014	7017
223	2021	7001
224	2029	6992
225	2038	6981
226	2046	6968
227	2053	6953
228	2061	6941
229	2069	6926
230	2077	6916
231	2084	6901
232	2093	6892
233	2102	6881
234	2110	6870
235	2117	6855
236	2126	6844
237	2133	6831
238	2141	6819
239	2149	6806
240	2157	6793
241	2164	6780
242	2172	6767
243	2179	6753
244	2187	6739
245	2195	6727
246	2202	6713
247	2210	6702
248	2217	6689
249	2226	6678
250	2233	6664
251	2242	6656
252	2250	6643
253	2258	6632
254	2265	6620
255	2274	6609
256	2282	6598
257	2291	6589
258	2298	6575
259	2306	6565
260	2314	6553
261	2322	6543
262	2330	6531
263	2339	6521
264	2347	6512
265	2356	6502
266	2363	6489
267	2371	6478
268	2378	6464
269	2387	6454
270	2394	6440
271	2402	6429
272	2409	6416
273	2416	6402
274	2424	6391
275	2431	6378
276	2440	6369
277	2447	6356
278	2455	6345
279	2462	6333
280	2470	6322
281	2478	6310
282	2486	6300
283	2494	6288
284	2502	6277
285	2509	6264
286	2517	6253
287	2524	6240
288	2534	6235
289	2541	6223
290	2550	6214
291	2559	6205
292	2567	6194
293	2574	6181
294	2581	6170
295	2589	6158
296	2596	6145
297	2604	6135
298	2611	6122
299	2620	6113
300	2627	6102
301	2636	6092
302	2643	6081
303	2652	6073
304	2661	6064
305	2670	6055
306	2678	6045
307	2686	6035
308	2693	6023
309	2702	6014
310	2709	6002
311	2717	5993
312	2725	5982
313	2733	5972
314	2741	5960
315	2749	5952
316	2756	5939
317	2765	5930
318	2772	5919
319	2780	5908
320	2788	5897
321	2796	5888
322	2803	5876
323	2811	5866
324	2819	5856
325	2827	5846
326	2834	5834
327	2842	5823
328	2850	5812
329	2857	5802
330	2867	5794
331	2875	5786
332	2885	5779
333	2893	5770
334	2901	5760
335	2910	5751
336	2917	5740
337	2926	5731
338	2933	5720
339	2941	5710
340	2949	5700
341	2958	5692
342	2969	5687
343	2977	5678
344	2985	5668
345	2993	5658
346	3001	5648
347	3010	5639
348	3017	5628
349	3025	5618
350	3032	5607
351	3040	5596
352	3048	5586
353	3055	5575
354	3063	5566
355	3070	5555
356	3079	5546
357	3086	5535
358	3094	5525
359	3102	5514
360	3110	5505
361	3117	5494
362	3125	5484
363	3132	5473
364	3140	5462
365	3147	5452
366	3155	5443
367	3162	5431
368	3169	5420
369	3178	5412
370	3186	5402
371	3194	5392
372	3202	5382
373	3210	5373
374	3217	5362
375	3225	5352
376	3232	5341
377	3240	5332
378	3247	5321
379	3256	5312
380	3263	5302
381	3272	5293
382	3281	5285
383	3289	5277
384	3297	5267
385	3305	5258
386	3312	5247
387	3321	5238
388	3328	5228
389	3336	5218
390	3343	5208
391	3351	5198
392	3359	5188
393	3366	5178
394	3375	5170
395	3383	5160
396	3391	5151
397	3398	5140
398	3406	5130
399	3413	5120
400	3421	5110
401	3429	5101
402	3437	5092
403	3444	5081
404	3452	5072
405	3460	5062
406	3468	5053
407	3476	5043
408	3484	5035
409	3492	5026
410	3500	5017
411	3508	5007
412	3516	4998
413	3524	4988
414	3532	4979
415	3540	4969
416	3548	4960
417	3555	4950
418	3562	4939
419	3570	4930
420	3577	4920
421	3587	4913
422	3596	4905
423	3603	4895
424	3611	4886
425	3619	4876
426	3627	4867
427	3635	4858
428	3642	4848
429	3650	4839
430	3658	4829
431	3666	4820
432	3673	4809
433	3681	4801
434	3688	4791
435	3696	4782
436	3704	4772
437	3712	4762
438	3719	4753
439	3726	4743
440	3735	4734
441	3742	4724
442	3750	4716
443	3757	4705
444	3765	4696
445	3773	4686
446	3783	4680
447	3790	4670
448	3799	4662
449	3806	4652
450	3815	4644
451	3822	4634
452	3830	4625
453	3837	4615
454	3846	4607
455	3855	4599
456	3863	4590
457	3870	4580
458	3879	4571
459	3887	4563
460	3896	4555
461	3904	4547
462	3913	4538
463	3920	4529
464	3929	4521
465	3937	4511
466	3945	4503
467	3953	4494
468	3961	4485
469	3969	4476
470	3977	4467
471	3985	4457
472	3993	4449
473	4000	4439
474	4009	4431
475	4016	4422
476	4025	4413
477	4032	4403
478	4040	4394
479	4047	4385
480	4055	4376
481	4063	4367
482	4071	4358
483	4079	4349
484	4086	4339
485	4094	4330
486	4102	4321
487	4110	4313
488	4118	4303
489	4126	4295
490	4134	4285
491	4142	4277
492	4149	4267
493	4157	4258
494	4165	4249
495	4173	4240
496	4180	4231
497	4190	4223
498	4198	4215
499	4207	4207
500	4216	4199
501	4224	4191
502	4232	4181
503	4240	4172
504	4248	4163
505	4256	4155
506	4264	4146
507	4272	4137
508	4280	4128
509	4289	4120
510	4296	4111
511	4305	4103
512	4313	4094
513	4322	4086
514	4329	4077
515	4338	4069
516	4346	4060
517	4354	4051
518	4362	4042
519	4370	4034
520	4378	4025
521	4386	4016
522	4393	4006
523	4401	3998
524	4409	3989
525	4417	3981
526	4425	3972
527	4433	3963
528	4441	3954
529	4449	3946
530	4457	3937
531	4465	3928
532	4473	3919
533	4480	3910
534	4488	3901
535	4495	3891
536	4503	3883
537	4511	3873
538	4520	3866
539	4529	3858
540	4537	3849
541	4544	3840
542	4552	3831
543	4560	3822
544	4568	3814
545	4575	3804
546	4583	3795
547	4590	3786
548	4600	3779
549	4608	3770
550	4616	3762
551	4624	3752
552	4632	3744
553	4640	3735
554	4648	3726
555	4655	3717
556	4663	3708
557	4670	3699
558	4678	3690
559	4685	3681
560	4693	3672
561	4701	3664
562	4708	3654
563	4716	3646
564	4724	3637
565	4732	3628
566	4740	3619
567	4748	3611
568	4755	3602
569	4764	3594
570	4771	3585
571	4780	3577
572	4788	3568
573	4797	3560
574	4804	3551
575	4813	3543
576	4820	3534
577	4829	3525
578	4838	3518
579	4848	3510
580	4856	3502
581	4864	3493
582	4872	3485
583	4881	3477
584	4888	3468
585	4897	3459
586	4905	3451
587	4913	3442
588	4921	3433
589	4929	3425
590	4936	3416
591	4946	3408
592	4953	3400
593	4963	3392
594	4970	3383
595	4978	3374
596	4986	3366
597	4995	3358
